Category,Module,Lesson,Issue Type,Updates Needed,Priority,Status
Influential Interviews,⚠️ No modules — needs building out,Structure Of A Typical Interview,Video + PDF,Video needs update; PDF needs update,Medium,Needs update
Influential Interviews,⚠️ No modules — needs building out,How To Nail Your Phone Screen,Review Needed,Needs review — flag for someone else to check,Medium,TBC
Influential Interviews,⚠️ No modules — needs building out,Answer Behavioural Style Questions Like A Pro!,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,How to Give a ""No Fluff"" Career Overview,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Behavioural Questions - Common Mistakes To Avoid,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,How to ""Hustle"" Before Your Interview,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Why You Should Ask Great Questions During the Interview,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,The Influential Leader Question Vault (Top 20 Questions to Ask),Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,1-Way Video Interviews,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Following Up After Your Interview,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Getting Feedback So You Can Learn & Improve,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Crafting Impressive Answers Without the Exact Experience,Full Redo,Full redo needed,High,Needs update
Influential Interviews,⚠️ No modules — needs building out,Example Interview Guide,Full Redo,Full redo needed,High,Needs update
CAP BONUS,⚠️ No modules — needs building out,Advanced Interview Skills,Full Redo,Full redo needed,High,Needs update
CAP BONUS,⚠️ No modules — needs building out,LinkedIn Brand Brilliance,Video,Video needs a refresh,High,Needs update
CAP BONUS,⚠️ No modules — needs building out,Staying Calm in High Pressure Environments,Video,Video needs a refresh,High,Needs update
CAP BONUS,⚠️ No modules — needs building out,How to Get a Job When it's Not Yet Advertised,Video,Video needs a refresh,High,Needs update
CAP BONUS,⚠️ No modules — needs building out,Navigating The Redundancy Process,Video + Missing Content,"Video needs a refresh; References a workbook + additional video that don't exist — create them or remove the references",High,Needs update
CAP BONUS,⚠️ No modules — needs building out,Take The Right Steps,Video,Video needs new intro & outro,Medium,Needs update
PLATFORM-WIDE,,,Missing Tile Covers,"Winning Mindset & Role Clarity, Early Access, Genius Applications, Influential Interviews — no tile cover images",High,Needs update
PLATFORM-WIDE,,,Tile Cover Refresh,CAP Bonus tile cover needs refreshing,High,Needs update
PLATFORM-WIDE,,,Typo,"""Certificate"" is spelt incorrectly in all resume templates — fix across all templates",High,Needs update
PLATFORM-WIDE,,,Video Naming Inconsistency,"Some videos titled ""Week 1"", others ""Module 5"" — don't match module/lesson name. Full audit and rename needed",High,Needs update
